theta_0,sigma
1.8448727,1.2842083
1.704759,1.4805334
1.4333824,1.4485871
1.7530853,1.562798
1.5177428,1.3084505
1.6734859,1.5281135
1.4804271,1.315307
1.8109664,1.5404158
1.7871274,1.3950194
1.5980932,1.2102586
1.584576,1.1825299
1.8440548,1.5653546
1.4176959,1.308064
2.0673425,1.4275198
1.0922304,1.4005921
2.2108862,1.578419
2.1833713,1.615435
1.7994132,1.5619067
1.5944873,1.5852795
1.65955,1.337084
1.7131643,1.3925368
1.4824479,1.1385112
1.449585,1.1883407
1.4093513,1.3245538
1.8385179,1.4612944
1.7552365,1.3595755
1.537928,1.56624
1.8422952,1.1334475
1.5407283,1.4887819
1.6993203,1.3660657
1.4964669,1.3224292
1.411499,1.3468416
1.5426935,1.4762576
1.5995893,1.3698455
1.7300268,1.4333591
1.6796263,1.3169498
1.6770585,1.3349991
1.6657892,1.5258391
1.6440692,1.3221651
1.7068605,1.5148358
1.8426192,1.5132264
1.5083065,1.3959138
1.6387749,1.4829826
1.7049031,1.3615825
1.5748197,1.751962
1.5666579,1.6028131
1.6019459,1.5038357
1.7362723,1.6689484
1.6032312,1.5747701
1.9042066,1.49089
1.742181,1.3612168
1.9184171,1.4674108
1.7448051,1.5103631
1.5257818,1.3996849
1.6734004,1.3842299
1.769757,1.4149039
1.6251227,1.4026055
1.708614,1.4933927
1.4258134,1.3972291
1.6835995,1.5004873
1.9071686,1.4315214
1.7444407,1.6593409
1.8352605,1.3252574
1.4664083,1.5457009
1.6069012,1.412226
1.4336834,1.5693607
1.7989451,1.5824112
1.565696,1.5311424
1.4289026,1.3952916
1.8747219,1.5538799
1.2901869,1.3718083
1.5524116,1.4980526
1.7192386,1.5175219
1.4396532,1.3811909
1.6216921,1.5224521
1.9577528,1.4264051
1.8617162,1.3405404
1.6827022,1.3707644
1.5840217,1.4154804
1.5909091,1.4258902
1.7598442,1.3361855
1.5050315,1.2990797
1.1755822,1.4512546
1.3099653,1.4815115
1.3483783,1.4667697
1.3739634,1.7007176
1.7740701,1.4647514
1.5497972,1.5288725
1.5147256,1.5543865
1.6066726,1.4392531
1.6820586,1.5122296
1.7386103,1.1982405
1.5972253,1.3994817
1.5757762,1.4332784
1.6375656,1.3423641
1.5861682,1.4621193
1.813318,1.4168458
1.4408691,1.3751783
1.5359992,1.3515812
1.7230679,1.4050733
1.8695881,1.6382393
1.4079776,1.3293837
1.8512677,1.5409516
1.549045,1.3412664
1.7039307,1.2943728
1.9681602,1.756089
1.2568209,1.2525626
1.6869801,1.548515
1.6570451,1.2699442
1.5406061,1.2622104
1.8368504,1.6409569
1.7951121,1.4380431
1.6569061,1.3826823
1.6124868,1.4950998
1.6490387,1.3409276
1.4545119,1.2277358
1.7893175,1.6638404
1.1946652,1.3725564
1.1547228,1.3239172
1.430149,1.5132871
1.741583,1.30972
1.538918,1.3892593
1.6850156,1.3909694
1.6673388,1.6410098
1.873398,1.5321562
1.600248,1.5114748
1.7873826,1.3770564
1.5435658,1.5335392
1.7577922,1.2647324
1.7272906,1.3199513
1.6054249,1.530198
1.6196104,1.4229134
1.7794504,1.5397409
1.5782689,1.4167471
1.6447974,1.3515611
1.5981892,1.3711354
1.8056761,1.4629853
1.6875134,1.4286852
1.5796443,1.1653395
1.7576426,1.5032859
1.5277592,1.5416287
1.7065415,1.5263284
1.4465133,1.6198914
1.453698,1.3760145
1.8312001,1.274739
1.815936,1.2837664
1.543119,1.6466208
1.6622053,1.2500856
1.5446106,1.5243247
1.3969754,1.5539358
1.7151649,1.765422
1.9329312,1.5395045
1.3205276,1.3355017
1.874678,1.3662559
1.812867,1.4080272
1.5624348,1.5016105
1.5723338,1.4384692
1.813471,1.5955027
1.4807667,1.4437282
1.7045299,1.4307657
1.4921565,1.4753414
1.712161,1.3749552
1.7535723,1.5300579
1.7943317,1.550168
1.7703385,1.5040358
1.6268401,1.4136
1.6399503,1.3304706
1.9669226,1.30642
1.5509369,1.6980097
1.6936123,1.3710644
1.3643528,1.3022354
1.5497023,1.4481912
1.7263154,1.4812534
1.4112626,1.5066687
1.5825893,1.4774458
1.8356721,1.4721425
1.9276874,1.4341451
1.6365668,1.2712823
1.7577386,1.5014904
1.5742569,1.3202262
1.6878375,1.357621
1.8689382,1.3614945
1.2764477,1.4751103
1.5072904,1.4985893
1.5460207,1.3699121
1.7310731,1.4013016
1.749095,1.4798706
1.6447816,1.5867294
1.5539471,1.2381371
1.5347599,1.2768815
1.6478906,1.5803657
1.6251937,1.3281
1.5495458,1.3659074
1.7179073,1.5917221
1.686592,1.43004
1.5978066,1.6146919
1.5645744,1.3197398
1.6999178,1.4017444
1.5918747,1.3507571
1.591284,1.5351095
1.629549,1.2490482
1.6381142,1.2635669
1.7708962,1.5763593
1.6656313,1.6655064
1.5504656,1.2468143
1.8076766,1.5769677
1.8700695,1.6215656
1.4535801,1.2773299
1.5494887,1.2891495
2.0707047,1.7152836
1.6951909,1.5235541
1.6097457,1.4985745
1.6480708,1.343685
1.6402206,1.2621253
1.7618686,1.3507129
1.7618686,1.3507129
1.5321016,1.4467634
1.753852,1.4628742
1.517588,1.4151229
1.4982522,1.4832797
1.3133888,1.3656102
1.4099869,1.2942878
1.6517874,1.7147033
1.1534933,1.352468
1.6472737,1.2421985
1.4413213,1.254331
1.5078055,1.2738438
1.6084688,1.3155713
1.6124266,1.4512824
1.7682436,1.2933958
1.4291214,1.7578372
1.8704138,1.3175516
1.8911713,1.4043558
1.5852469,1.5156028
1.5529455,1.3972735
1.888683,1.2606994
1.6455926,1.7292379
1.3566691,1.2769622
1.8717883,1.5339159
1.8452891,1.499923
1.8127772,1.6229177
1.8060882,1.6237366
2.0353017,1.5868335
2.0585394,1.5627549
1.9264953,1.4398495
1.6508105,1.3900405
1.4541239,1.4398522
1.564073,1.4963219
1.365895,1.2980963
1.4316868,1.4324647
1.5746393,1.5890917
1.667615,1.378223
1.7282544,1.3240048
1.9117761,1.349834
1.818463,1.4740562
1.5935163,1.4240389
1.372003,1.4432344
1.319153,1.4163656
1.363752,1.4372209
1.2776322,1.4195726
1.2740101,1.3878884
1.3698701,1.4144765
1.6588674,1.4542968
1.736093,1.4902883
2.0265186,1.4066811
1.2126083,1.3777804
1.3441256,1.417096
1.4983141,1.5311668
2.046811,1.5680194
1.7120526,1.5152273
1.5680411,1.3516376
1.5868562,1.4901866
1.6597589,1.4014952
1.6681473,1.4351573
1.4896665,1.422544
1.3556539,1.8422247
1.7268453,1.3217394
1.5990112,1.5004312
1.6708903,1.5179034
1.4202785,1.5142817
2.0839903,1.4515758
1.231253,1.4574649
1.8019234,1.5803094
1.442497,1.3104097
1.7491833,1.3269908
1.8196293,1.3217244
1.1488848,1.6945677
1.5470414,1.611803
1.6656322,1.5820043
1.8352215,1.3112699
1.4850587,1.5517695
1.1920576,1.586566
1.7918237,1.3837584
1.5684203,1.4792112
1.7591951,1.3110778
1.6085651,1.248569
1.6085651,1.248569
1.6456679,1.4302479
1.6245658,1.3838845
1.6763695,1.3851491
1.6081212,1.4166769
1.4390501,1.6720223
1.7502985,1.6407664
1.8091968,1.4002042
1.6625142,1.4660059
1.3205585,1.593472
1.5192032,1.5255625
1.6123604,1.3010328
1.4488767,1.7187699
1.9392737,1.5443949
1.5885097,1.5075957
1.7637885,1.3985205
1.7715507,1.4088491
1.4936413,1.4193163
1.6274723,1.4165623
1.690307,1.5770476
1.6322116,1.5133817
1.5991926,1.4035451
1.4602683,1.4651818
1.744851,1.4689668
1.6873697,1.4237504
1.5224121,1.4207324
1.5713124,1.4920816
1.7743522,1.4148257
1.8047205,1.427427
1.4567412,1.3313508
1.6964135,1.3867799
1.5951525,1.3406438
1.5675801,1.5213151
1.9089772,1.6138761
1.3884645,1.2636328
1.873866,1.4231586
1.7969017,1.5302463
1.3166884,1.4653184
1.9013277,1.3081398
1.382731,1.7251318
1.9801978,1.5684881
2.035852,1.455397
2.0052884,1.370416
1.9322225,1.4514518
1.7217869,1.363581
1.6484038,1.3900548
1.6484038,1.3900548
1.93263,1.319482
1.6146768,1.3109506
1.6736851,1.4661368
1.5741894,1.3971964
1.6634095,1.5378157
1.6300813,1.365674
1.8368613,1.4841986
1.3433805,1.3694168
1.2383182,1.3890138
1.918909,1.3409475
1.349748,1.5468919
1.7988397,1.5069883
1.891966,1.5581579
1.8904339,1.725111
2.107084,1.7793239
1.76371,1.8359207
1.6526119,1.6871717
2.0869958,1.4004121
1.2599674,1.3050902
1.391281,1.3547697
1.771587,1.5791101
1.3879851,1.3106755
1.827719,1.5512723
2.1074557,1.4807922
2.031324,1.4855868
1.5628132,1.6779456
1.4469976,1.3152514
1.440879,1.3398447
1.4886752,1.2323349
1.5309292,1.3785186
1.5357164,1.3845952
1.5364053,1.329497
1.5978844,1.3230442
1.4959147,1.5735527
1.591771,1.4459336
1.6159497,1.5200641
1.7171066,1.4437547
1.7438705,1.8073235
1.8426275,1.5205746
1.5386918,1.2548702
1.7039155,1.64593
1.8719087,1.6302257
1.3174231,1.4909291
1.9442996,1.4859118
1.6408772,1.3991809
1.5494777,1.3977418
1.5797129,1.2625818
1.5404791,1.2084589
1.4959606,1.4716284
1.8516141,1.6603918
1.9579387,1.5926849
1.7420115,1.5609581
1.7093034,1.7352827
1.6529742,1.4670496
1.4216725,1.3378572
1.3763702,1.5064986
1.6424751,1.5218852
1.7236731,1.5216267
1.6107503,1.49594
1.4793402,1.3197719
1.474398,1.3103133
1.5279472,1.4598607
1.4043132,1.3302519
1.3371246,1.5513227
1.6794586,1.494674
1.5875065,1.3375437
1.4186283,1.6178845
1.7978204,1.3569748
1.8298867,1.2892611
1.8792695,1.5163828
1.859072,1.6699827
1.5353205,1.4093002
1.3845444,1.3884352
1.46507,1.2779818
1.6806746,1.3257492
1.9206709,1.2932439
1.383631,1.6820378
1.39922,1.747716
1.3694606,1.862948
1.5200517,1.5185962
1.6155959,1.3523183
1.6255538,1.4950128
1.6170181,1.4873995
1.7018279,1.3663214
1.7911787,1.4043365
1.631667,1.3252076
1.6540316,1.4845309
1.6793212,1.4357221
1.7295358,1.3318999
1.6535999,1.2225358
1.3208361,1.8573198
1.7245114,1.2800099
1.6131661,1.3223792
1.4715534,1.7167354
1.7121507,1.6546264
1.6029829,1.3380094
1.6274346,1.2552185
1.5452127,1.3830078
1.6135036,1.4491751
1.6429414,1.3624139
1.6167003,1.4170249
1.7425699,1.5690267
1.4565959,1.2600362
1.8458796,1.5177009
1.3427027,1.434707
1.3908806,1.2378771
1.759142,1.6415012
2.0866158,1.5566988
1.7211549,1.4548534
1.7126467,1.535437
1.7145813,1.4263892
1.4593111,1.4343491
1.5851035,1.5416931
1.8445506,1.4221909
1.8795043,1.2887338
1.8465558,1.3087423
1.4509076,1.6955111
1.7274691,1.4309084
1.7372693,1.4149125
1.7481658,1.3699234
1.7827269,1.3268113
1.5519794,1.5051463
1.888998,1.5063679
1.8076558,1.5765536
1.9244804,1.2566388
1.7366405,1.5134965
1.5630909,1.2750899
1.6514317,1.2387024
1.5667679,1.4703319
1.676753,1.4767206
1.5608035,1.5221305
1.882002,1.3973762
1.4818094,1.3842138
1.7539071,1.3990446
