theta_0,theta_1,sigma
0.91363853,0.26636365,1.3442155
-0.1863017,1.8760928,0.9835228
0.6405929,-0.14864816,1.1487296
0.32777163,0.77240056,1.2079914
-0.08445786,1.8793442,0.98033386
0.09434496,2.1185374,1.000004
-0.1079275,1.4876097,1.0653765
0.3188997,0.46133697,1.1769154
-0.24038959,1.8469874,1.1165402
0.5534723,-0.09820076,1.0479635
0.20932774,0.82286215,0.88882995
0.40620992,1.0072231,0.87768495
-0.27936715,1.8226899,1.3894129
-0.20664814,1.760286,1.3440291
-0.23515125,1.5144657,1.2812326
0.096076444,1.2654642,1.0301318
0.4794324,0.40542904,1.3138351
0.34899595,0.68190676,0.9350431
0.00822616,1.7087617,1.1544808
0.57532656,0.032577407,1.021771
0.51473075,0.5200365,1.1952529
-0.0010193742,0.76141816,1.187649
0.10502536,0.7904065,1.130449
0.20185278,1.0543876,1.1135147
0.3510508,0.51918393,1.104781
0.5095745,0.6769755,1.1235484
0.19490793,0.8022348,1.2606497
0.3345849,0.2503946,1.009316
0.3873485,0.41791844,1.0361301
0.34329084,0.8519047,1.1530991
0.00039474768,1.6169828,1.0936363
0.6921517,0.4575208,1.0762738
0.37914592,0.8517465,0.90389186
0.29879534,0.9810651,1.2855725
0.46046725,0.9657309,1.2155488
-0.2691205,2.3457181,1.323267
0.36056507,0.76456225,0.9856021
0.6978964,0.5521468,1.1589148
0.13910013,0.9876046,1.0616285
0.10410761,1.4178722,1.1315235
0.35305005,1.6236999,1.1386553
0.15010001,1.5057651,1.1629852
-0.18143101,2.1694863,1.1243256
0.17021476,1.2065307,1.1682943
0.2318043,1.4843659,1.2416699
-0.238164,1.8163071,1.0272682
0.02272694,1.870517,1.0983024
0.02272694,1.870517,1.0983024
-0.07260582,2.002791,1.1414363
-0.39571306,3.0879617,1.3388871
-0.31521568,2.6473398,1.3217467
0.34121412,0.99390936,1.1908576
0.33080843,0.5378969,1.1868414
0.3241786,0.25980863,1.1324303
