alpha,beta_Dnorm,beta_CEI
-8.447857,4.397198,0.98229426
-8.4705715,4.3535094,0.9792914
-8.575097,4.246,0.968552
-9.121139,4.894154,1.173911
-9.199855,4.8793178,1.1697798
-9.213296,4.84042,1.1708261
-9.5306015,5.6509957,1.1003518
-8.773176,4.6321664,1.0488821
-8.74634,4.763145,1.0373884
-8.958351,4.5385537,1.0247868
-8.97895,4.742436,1.2190833
-9.115119,4.644037,1.2176038
-9.1125345,4.674615,1.2259303
-9.686697,6.061898,0.97592014
-10.183474,6.4691997,1.0705279
-11.053564,7.9551377,1.013985
-10.189033,6.645043,1.0665226
-10.322182,6.7331185,1.1086437
-11.036001,7.685673,1.0693412
-10.740543,7.3936486,1.1987407
-10.839549,7.1165314,1.1755549
-10.629887,6.6474237,1.2686791
-10.65875,6.5883775,1.270785
-10.646062,6.6452556,1.2709917
-10.702368,6.9494047,1.2467984
-9.725338,6.043653,1.10748
-9.898408,5.786866,1.0967511
-9.848018,6.003336,1.1127766
-10.20085,6.477913,1.1437554
-9.211346,5.087852,1.0450395
-8.673989,4.4210668,0.933953
-8.597223,4.1185627,1.0625433
-10.06549,5.9741116,1.281993
-9.728633,5.7983675,1.0453376
-9.643173,5.9355493,1.0422304
-9.1251745,4.7759743,1.2069285
-9.21582,4.7537203,1.219961
-9.152947,4.9441805,1.229177
-8.744985,4.619925,1.1604956
-8.598474,3.9870884,1.2310987
-8.662371,4.1534967,1.290451
-8.924945,3.9808793,1.2826613
-9.66574,5.558867,1.1909505
-8.903631,4.7057753,1.0718713
-8.748308,4.4359937,1.1277593
-8.006821,3.057562,1.1555176
-9.454397,5.4552746,1.1579844
-9.491503,5.44279,1.1459413
-9.05857,4.6971316,1.1966813
-8.687877,3.9181476,1.1839482
-8.695208,3.895921,1.1831458
-10.227442,6.27583,1.1437387
-10.128476,6.412229,1.1561425
-10.572517,7.0339174,1.0968685
-10.273709,7.091884,1.0648068
-10.67641,7.100151,1.2176231
-10.618942,6.960725,1.1212994
-10.554749,7.1884155,1.125787
-11.816627,9.208354,1.0360649
-11.313283,7.9369016,1.1143454
-11.302646,8.1752205,1.1184317
-11.246117,8.270747,1.1161697
-11.298497,8.247838,1.1145184
-10.293164,6.4057865,1.2057805
-10.262379,6.627442,1.2109792
-10.710866,7.469319,1.1300328
-10.99728,7.4131503,1.1329719
-11.126031,7.9801226,1.1473944
-11.16648,8.211118,0.9382255
-11.611203,8.738347,1.1451418
-10.111671,6.358868,1.0482901
-10.17902,6.8340893,0.9293274
-10.507216,7.196929,1.0078056
-9.697541,5.853421,1.010463
-8.989159,4.6676717,1.151739
-9.22096,4.7677803,1.1656054
-7.832575,2.8313046,1.222427
-7.6061654,2.5287476,1.2052139
-9.396345,4.7885118,1.3110741
-9.397326,4.7140117,1.3032147
-9.12432,4.5826144,1.2615076
-9.582502,5.0894446,1.3282928
-8.842582,4.3135724,1.189798
-9.417913,4.964736,1.2995033
-9.363015,4.6957507,1.330079
-8.866967,4.415831,1.1785305
-8.842367,4.514918,1.1239017
-8.846788,4.4902277,1.1495993
-8.953746,4.5549374,1.1724389
-9.338702,5.190505,1.2218248
-10.134802,6.473655,1.1858042
-8.260307,3.1611252,1.2088215
-7.9222574,2.8321536,1.1862866
-9.833274,5.795237,1.2097921
-10.30704,6.2537775,1.2664241
-11.025096,7.8849206,1.2152433
-11.248706,7.5921273,1.218409
-11.125929,7.8078165,1.2324926
-10.298486,7.3179846,0.8606199
-10.321885,7.343243,0.85557276
-8.826818,4.3110614,1.2020904
-8.542306,3.7721324,1.1883211
-10.323596,6.8476596,1.0660505
-10.843203,7.616032,1.0910758
-9.298435,5.5533714,0.93138623
-8.77919,4.8690667,0.89140695
-10.180709,6.441496,1.1154952
-10.122555,6.441041,1.1246494
-10.1192255,6.294611,1.1421956
-9.118561,4.734419,1.2369634
-10.15214,6.512914,1.0848182
-7.984152,2.8653138,1.2466352
-7.7582593,2.4459093,1.3383771
-7.195784,2.0281603,1.1684889
-7.240436,1.7039629,1.1979904
-8.521808,3.1073503,1.4406352
-5.6889157,-0.6854621,1.3239437
-5.7345014,-0.7149898,1.3306938
-5.9132156,-0.51962125,1.3133383
-9.161049,4.892915,1.1918715
-7.354345,1.9399587,1.2723144
-7.1386766,1.4596285,1.252113
-8.250737,2.9987576,1.3291938
-8.343972,3.4862845,1.2483221
-8.363915,3.9090047,1.1261243
-8.830125,4.718947,1.0717261
-8.158321,3.0033422,1.3510592
-10.294586,6.8681245,1.0247422
-8.033401,3.0466626,1.2644073
-8.095562,3.3446205,1.1993878
-9.606219,5.631795,1.1300733
-10.846889,7.288709,1.0908241
-10.638731,7.4114285,1.0932995
-9.176828,5.0077705,1.1877257
-10.724686,7.215573,1.2162988
-10.683604,6.642389,1.2007561
-9.681995,5.621465,1.2814537
-7.4688106,2.0703182,1.1159637
-7.5003,2.7008016,1.1413871
-7.5875936,2.456703,1.127188
-8.573839,3.30038,1.4489931
-8.805582,3.91412,1.376248
-9.323926,4.0834756,1.4954745
-7.9381313,3.022946,1.3228028
-7.996236,2.2391505,1.3402059
-7.8470306,2.6499875,1.3253171
-7.8997736,2.5403547,1.327528
-7.7412047,2.9136844,1.1546792
-8.874221,4.2072964,1.2854493
-8.36862,3.7770813,1.1557953
-9.084871,4.95215,1.0191015
-9.087652,4.2802024,1.3154461
-8.916899,4.374779,1.320876
-9.131842,4.1969233,1.3211416
-9.042526,4.4782085,1.323021
-10.396551,6.8495255,1.1627288
-10.449248,6.2389216,1.299997
-10.19073,6.2449613,1.1741298
-9.973028,6.204309,1.0677805
-9.880739,6.148764,1.057421
-9.83736,6.037853,1.1038222
-9.188525,5.2165265,1.0402547
-10.022643,6.3700137,1.1456752
-10.238866,6.4210944,1.1606488
-9.294669,4.9967375,1.2345551
-8.69931,4.0784154,1.2128693
-10.301815,6.698392,1.1802207
-8.389844,3.4484959,1.217875
-8.220694,3.4124403,1.2343235
-8.274254,3.2839816,1.22743
-8.312546,3.407521,1.1715919
-9.719912,5.1442685,1.324316
-8.611262,3.438608,1.3487885
-9.43694,5.514765,1.1184978
-9.658438,5.327319,1.1073323
-9.661483,5.3220143,1.104624
-9.402583,4.7029185,1.2242054
-9.69286,4.8365536,1.3509611
-9.710732,4.89619,1.3484602
-9.461693,4.5994296,1.3089116
-11.248162,8.345001,1.0662581
-11.347839,8.232114,1.058857
-11.263272,8.447271,1.0529226
-11.419343,8.201732,1.0342507
-11.360955,8.158485,1.0137326
-11.192806,8.6721525,1.0072078
-11.393329,8.063229,0.9711464
-10.890604,7.301811,1.2521715
-8.991259,5.2960997,0.838934
-9.08894,5.285043,0.8900598
-10.717086,7.3174706,1.0179727
-10.1949835,6.7180295,0.9958484
-10.563862,6.9414225,1.0488985
-10.786374,6.9348903,1.1667732
-10.525186,7.009869,1.1748667
-10.09818,6.0116715,1.2093384
-9.2106285,5.356096,0.92293733
-11.560594,8.696765,1.0301396
-10.785078,7.1562676,1.1978687
-9.108999,4.898088,1.0993022
-8.989214,4.997653,1.1027559
-9.041338,4.8519206,1.0969204
-9.166877,5.169476,1.1227376
-9.276506,5.058291,1.1201211
-9.210944,5.2363033,1.1187751
-9.226491,5.344881,1.0487069
-8.870345,4.3067994,1.2359962
-8.982185,4.6954565,1.1085026
-9.937918,5.9992495,1.1407492
-10.071655,6.0408936,1.297868
-9.813998,5.9681177,1.164443
-10.078834,6.1036797,1.1365687
-9.951341,6.224445,1.1433196
-9.923663,5.8113623,1.1584438
-9.335454,5.074181,1.2420886
-8.527364,4.0856967,1.1898198
-9.3852215,5.0464087,1.328976
-9.346271,4.983495,1.2052416
-10.702907,7.2261133,1.14974
-9.347457,5.3200984,1.188094
-9.845943,5.4125714,1.3690333
-8.222177,3.1492577,1.1808232
-8.246191,3.2563884,1.2065635
-7.857044,2.659615,1.2652417
-9.436081,5.1291447,1.1829506
-9.436465,5.104464,1.1824752
-9.371417,4.8956122,1.1627535
-9.720544,5.574947,1.142161
-10.28552,6.6038547,1.068364
-9.215008,4.6990285,1.2873076
-8.395313,3.4983702,1.2358948
-8.8423395,3.9983673,1.3476272
-8.872929,3.9875615,1.3249345
-8.289039,3.172875,1.3321056
-10.182256,6.505259,1.0179493
-10.433638,7.295035,1.0140965
-10.687286,7.339241,0.97878635
-9.871838,6.2048936,1.1274041
-10.418252,6.751035,1.1708249
-10.612989,7.067761,1.187613
-9.35694,5.5656147,0.9205406
-10.369111,6.0731173,1.3622773
-10.344113,6.1537156,1.3778778
-10.2895355,6.120157,1.3679222
-7.97163,3.147588,1.1901493
-8.144469,3.3488753,1.1209271
-8.439617,3.581181,1.2695841
-8.578781,3.5802553,1.2570319
-8.120207,3.4217668,1.1731682
-8.121649,2.9205556,1.3826482
-8.205025,2.6920695,1.3749989
-8.2086115,2.7600727,1.3764987
-9.099039,4.3096766,1.307692
-8.940209,4.4688025,1.311671
-9.017181,4.4553633,1.3195449
-9.879826,5.586229,1.2678207
-9.753934,5.7872677,1.2669343
-10.14989,6.1604114,1.2186762
-10.989084,7.2524576,1.2099882
-8.939662,4.6817365,1.0062805
-8.79262,4.7194543,1.02145
-9.190002,5.162289,1.077132
-9.24724,5.065515,1.0732594
-9.188934,5.061745,1.1134608
-8.643128,4.175089,1.1201769
-8.681025,4.111237,1.117688
-8.839345,4.454625,1.1795547
-9.800447,6.2140646,0.96700555
